transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,saon,paon,street,locality,town,district,county,ppd_category,record_uri
"42C129E4-3061-60A9-E063-4804A8C0C25D","357000","2025-10-20","LU7 4DE","T","N","F","","3","SPARROW PATH","LEIGHTON BUZZARD","MILTON KEYNES","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-3061-60A9-E063-4804A8C0C25D/current"
"3DCCB7C9-A54E-5B9D-E063-4704A8C0331E","327500","2025-08-15","MK1 1BH","S","N","F","","19","RHONDDA CLOSE","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7C9-A54E-5B9D-E063-4704A8C0331E/current"
"2F7F2B42-B12B-E08F-E063-4804A8C05A49","910000","2025-02-13","MK1 1BP","D","N","F","","ROPLEY HOUSE, 90","WATLING STREET","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B42-B12B-E08F-E063-4804A8C05A49/current"
"402A3A66-AFF9-A7DF-E063-4804A8C0B80D","420000","2025-09-26","MK1 1BQ","D","N","F","","3","STAPLE HALL ROAD","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","B","http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-AFF9-A7DF-E063-4804A8C0B80D/current"
"3B5CE841-7291-EE3A-E063-4804A8C0D6F1","405000","2025-05-22","MK1 1BQ","S","N","F","","20","STAPLE HALL ROAD","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-7291-EE3A-E063-4804A8C0D6F1/current"
"49E87C31-999C-591C-E063-4704A8C00C31","405000","2025-12-12","MK1 1BQ","S","N","F","","29","STAPLE HALL ROAD","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C31-999C-591C-E063-4704A8C00C31/current"
"4777E0AE-5AEA-5D59-E063-4804A8C09F8E","528000","2025-11-26","MK1 1BQ","D","N","F","","33","STAPLE HALL ROAD","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-5AEA-5D59-E063-4804A8C09F8E/current"
"44F406B6-23CA-1095-E063-4704A8C048D4","265000","2025-10-07","MK1 1BY","T","N","F","","1","LOCK VIEW LANE","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B6-23CA-1095-E063-4704A8C048D4/current"
"38EDC0C2-A610-0F63-E063-4704A8C00424","108000","2025-04-09","MK1 1NE","F","N","L","","21","GRANBY COURT","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C2-A610-0F63-E063-4704A8C00424/current"
"38EDC0C3-945B-0F63-E063-4704A8C00424","100000","2025-05-07","MK1 1NG","F","N","L","","163","GRANBY COURT","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","B","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-945B-0F63-E063-4704A8C00424/current"
